word,definition
long-headed,having a dolichocephalic head
lionhearted,extraordinarily courageous
stouthearted,used especially of persons
chickenhearted,easily frightened
lily-livered,easily frightened
white-livered,easily frightened
yellow-bellied,easily frightened
fainthearted,lacking conviction or boldness or courage
faint-hearted,lacking conviction or boldness or courage
pusillanimous,lacking in courage and manly strength and resolution; contemptibly fearful
poor-spirited,lacking in courage and manly strength and resolution; contemptibly fearful
namby-pamby,lacking courage or vitality
wishy-washy,lacking courage or vitality
sweet-breathed,having breath or breath as specified
asphyxiating,tending to deprive of oxygen
suffocating,causing difficulty in breathing especially through lack of fresh air and presence of heat
suffocative,causing difficulty in breathing especially through lack of fresh air and presence of heat
short-winded,breathing laboriously or convulsively
crystalline,consisting of or containing or of the nature of crystals
crystallized,having both internal structure and external form of a crystal
crystalised,having both internal structure and external form of a crystal
microcrystalline,containing crystals that are visible only under a microscope
polycrystalline,composed of aggregates of crystals
noncrystalline,not crystalline
uncrystallized,without real or apparent crystalline form
uncrystallised,without real or apparent crystalline form
autofluorescent,emitting light via self-induced fluorescence
bioluminescent,(of living organisms) emitting light
candescent,glowing from great heat
floodlighted,illuminated by means of floodlights
fluorescent,emitting light during exposure to radiation from an external source
illuminated,provided with artificial light
well-lighted,provided with artificial light
incandescent,emitting light as a result of being heated
lighting-up,turning lights on
luminescent,emitting light not caused by heat
phosphorescent,emitting light without appreciable heat as by slow oxidation of phosphorous
pitch-black,extremely dark
crepuscular,like twilight; dim
unilluminated,without illumination
crosshatched,shaded by means of fine parallel or crossed lines
unbridgeable,not bridgeable
lucent,softly bright or radiant
scintillant,having brief brilliant points or flashes of light
scintillating,having brief brilliant points or flashes of light
bright as a new penny,(metaphor) shining brightly
iridescent,having a play of lustrous rainbow colors
opalescent,having a play of lustrous rainbow colors
pearlescent,having a play of lustrous rainbow colors
noctilucent,shining or glowing by night
self-luminous,having in itself the property of emitting light
discriminatory,being biased or having a belief or attitude formed beforehand
anti-Semite,discriminatory especially on the basis of race or religion
unprejudiced,free from undue bias or preconceived opinions
color-blind,unprejudiced about race
colour-blind,unprejudiced about race
broad-minded,inclined to respect views and beliefs that differ from your own
large-minded,showing or characterized by broad-mindedness
free-thinking,unwilling to accept authority or dogma (especially in religion)
latitudinarian,unwilling to accept authority or dogma (especially in religion)
undogmatical,unwilling to accept authority or dogma (especially in religion)
open-minded,ready to entertain new ideas
narrow-minded,lacking tolerance or flexibility or breadth of view
close-minded,not ready to receive to new ideas
closed-minded,not ready to receive to new ideas
opinionated,obstinate in your opinions
opinionative,obstinate in your opinions
self-opinionated,obstinate in your opinions
small-minded,contemptibly narrow in outlook
reconstructed,adapted to social or economic change
