word,definition
unreconstructed,adhering to an attitude or position widely held to be outmoded
broken-field,varying in direction suddenly and frequently
interrupted,intermittently stopping and starting
uninterrupted,having undisturbed continuity
brotherlike,like or characteristic of or befitting a brother
belowground,underneath the ground
lackadaisical,idle or indolent especially in a dreamy way
strong-boned,having strong bones
button-down,of a shirt; having the ends of the collar fastened down by buttons
open-collared,of a shirt; not buttoned at the neck
capitalistic,favoring or practicing capitalism
competitive,subscribing to capitalistic competition
free-enterprise,subscribing to capitalistic competition
private-enterprise,subscribing to capitalistic competition
individualistic,with minimally restricted freedom in commerce
laissez-faire,with minimally restricted freedom in commerce
socialistic,advocating or following the socialist principles
collectivist,subscribing to the socialistic doctrine of ownership by the people collectively
collectivistic,subscribing to the socialistic doctrine of ownership by the people collectively
collectivized,subscribing to the socialistic doctrine of ownership by the people collectively
collectivised,subscribing to the socialistic doctrine of ownership by the people collectively
state-controlled,subscribing to the socialistic doctrine of ownership by the people collectively
cacophonous,having an unpleasant sound
denumerable,that can be counted
incalculable,not able to be computed or enumerated
innumerable,too numerous to be counted
multitudinous,too numerous to be counted
unnumberable,too numerous to be counted
unnumerable,too numerous to be counted
incomputable,beyond calculation or measure
inestimable,beyond calculation or measure
immeasurable,beyond calculation or measure
indeterminable,incapable of being definitely ascertained or calculated
tempestuous,(of the elements) as if showing violent anger
camphorated,impregnated with camphor
uncamphorated,not containing camphor
sure-footed,not liable to error in judgment or action
resourceful,having inner resources; adroit or imaginative
uncared-for,lacking needed care and attention
blow-by-blow,providing great detail
conscientious,characterized by extreme care and great effort
painstaking,characterized by extreme care and great effort
overcareful,excessively or unduly careful
too-careful,excessively or unduly careful
perfunctory,hasty and without attention to detail; not thorough
superficial,hasty and without attention to detail; not thorough
carnivorous,(used of plants as well as animals) feeding on animals
flesh-eating,(of animals) carnivorous
meat-eating,(of animals) carnivorous
piscivorous,feeding on fishes
herbivorous,feeding only on plants
anthophagous,feeding on flowers
anthophilous,feeding on flowers
baccivorous,feeding on berries
carpophagous,feeding on fruit
fruit-eating,feeding on fruit
grass-eating,feeding on grasses
plant-eating,(of animals) feeding on plants
phytophagic,(of animals) feeding on plants
phytophagous,(of animals) feeding on plants
phytophilous,(of animals) feeding on plants
saprophagous,(of certain animals) feeding on dead or decaying animal matter
saprophytic,(of some plants or fungi) feeding on dead or decaying organic matter
all-devouring,(of animals) both plant-eating and flesh-eating
insectivorous,(of animals and plants) feeding on insects
myrmecophagous,feeding on ants
acarpellous,having no carpels
carvel-built,(of ships) built with flush (rather than overlapping) hull planks
flush-seamed,laid edge to edge (not overlapping)
clinker-built,having overlapping hull planks
clincher-built,having overlapping hull planks
lap-straked,having overlapping hull planks
lap-streaked,having overlapping hull planks
acatalectic,(verse) metrically complete; especially having the full number of syllables in the final metrical foot
hypercatalectic,(verse) having an extra syllable or syllables at the end of a metrically complete verse or in a metrical foot
unexpurgated,not having material deleted
scaly-tailed,having a scaly tail
scissor-tailed,(of birds) having a deeply forked tail
short-tailed,having a short tail
square-tailed,having a square tail
stiff-tailed,having a stiff tail
swallow-tailed,(especially of butterflies and birds) having a forked tail like that of a swallow
tail-shaped,shaped like the tail of an animal
caulescent,(of plants) producing a well-developed stem above ground
cylindrical-stemmed,having a cylindrical stem
leafy-stemmed,having a leafy stem
multi-stemmed,having many stems
short-stemmed,having a short stem
spiny-stemmed,having a spiny stem
stout-stemmed,having a stout stem
thick-stemmed,having a thick stem
weak-stemmed,having a weak stem
wiry-stemmed,having a wiry stem
woolly-stemmed,having a woolly stem
woody-stemmed,having a woody stem
